"Name","Author","AVG_Rating","AVG_Reviews","AVG_Price","Years_Count","Years_List","Genre"
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)","Jill Twiss","4.900000095367432","11881.0000","13","1","2018","Fiction"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4.599999904632568","6990.0000","4","5","2013,2014,2015,2016,2017","Non Fiction"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","4.5","6132.0000","13","1","2013","Non Fiction"
"Leonardo da Vinci","Walter Isaacson","4.5","3014.0000","21","1","2017","Non Fiction"
"Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering","Paper Peony Press","4.400000095367432","7550.0000","6","1","2018","Non Fiction"
"Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin","4.800000190734863","3828.0000","15","1","2009","Non Fiction"
"Life","Keith Richards","4.5","2752.0000","18","1","2010","Non Fiction"
"Little Bee: A Novel","Chris Cleave","4.099999904632568","1467.0000","10","1","2010","Fiction"
"Little Blue Truck","Alice Schertle","4.900000095367432","1884.0000","0","1","2014","Fiction"
"Little Fires Everywhere","Celeste Ng","4.5","25706.0000","12","1","2018","Fiction"
"Looking for Alaska","John Green","4.5","8491.0000","7","1","2014","Fiction"
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell","4.199999809265137","1649.0000","13","1","2011","Non Fiction"
"Love You Forever","Robert Munsch","4.800000190734863","18613.0000","5","2","2014,2015","Fiction"
"Magnolia Table: A Collection of Recipes for Gathering","Joanna Gaines","4.800000190734863","9867.0000","16","1","2018","Non Fiction"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","4.5","1386.0000","20","1","2014","Non Fiction"
"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven","4.699999809265137","10199.0000","11","1","2017","Non Fiction"
"Mastering the Art of French Cooking, Vol. 2","Julia Child","4.800000190734863","2926.0000","27","1","2009","Non Fiction"
"Milk and Honey","Rupi Kaur","4.699999809265137","17739.0000","8","3","2016,2017,2018","Non Fiction"
"Milk and Vine: Inspirational Quotes From Classic Vines","Adam Gasiewski","4.400000095367432","3113.0000","6","1","2017","Non Fiction"
"Mindset: The New Psychology of Success","Carol S. Dweck","4.599999904632568","5542.0000","10","3","2014,2015,2016","Non Fiction"
"Mockingjay (The Hunger Games)","Suzanne Collins","4.5","26741.0000","8","3","2010,2011,2012","Fiction"
"National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer","4.800000190734863","5347.0000","16","1","2019","Non Fiction"
"National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)","Amy Shields","4.800000190734863","7866.0000","11","1","2019","Non Fiction"
"New Moon (The Twilight Saga)","Stephenie Meyer","4.599999904632568","5680.0000","10","1","2009","Fiction"
"Night (Night)","Elie Wiesel","4.699999809265137","5178.0000","9","1","2016","Non Fiction"
"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen","4.599999904632568","8093.0000","14","1","2012","Non Fiction"
"Obama: An Intimate Portrait","Pete Souza","4.900000095367432","3192.0000","22","1","2017","Non Fiction"
"Oh, the Places You'll Go!","Dr. Seuss","4.900000095367432","21834.0000","8","8","2012,2013,2014,2015,2016,2017,2018,2019","Fiction"
"Old School (Diary of a Wimpy Kid #10)","Jeff Kinney","4.800000190734863","6169.0000","7","1","2015","Fiction"
"Olive Kitteridge","Elizabeth Strout","4.199999809265137","4519.0000","12","1","2009","Fiction"
"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp","4.599999904632568","3163.0000","13","2","2011,2012","Non Fiction"
"Option B: Facing Adversity, Building Resilience, and Finding Joy","Sheryl Sandberg","4.5","1831.0000","9","1","2017","Non Fiction"
"Origin: A Novel (Robert Langdon)","Dan Brown","4.300000190734863","18904.0000","13","1","2017","Fiction"
"Orphan Train","Christina Baker Kline","4.599999904632568","21930.0000","11","1","2014","Fiction"
"Outliers: The Story of Success","Malcolm Gladwell","4.599999904632568","10426.0000","20","2","2009,2010","Non Fiction"
"P is for Potty! (Sesame Street) (Lift-the-Flap)","Naomi Kleinberg","4.699999809265137","10820.0000","5","2","2018,2019","Non Fiction"
"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)","Rick Riordan","4.800000190734863","548.0000","2","1","2010","Fiction"
"Player's Handbook (Dungeons & Dragons)","Wizards RPG Team","4.800000190734863","16990.0000","27","3","2017,2018,2019","Fiction"
"Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon","Scholastic","4.699999809265137","3503.0000","9","1","2016","Fiction"
"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife","Eben Alexander","4.300000190734863","13616.0000","10","2","2012,2013","Non Fiction"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","4.5","8580.0000","46","10","2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","Non Fiction"
"Puppy Birthday to You! (Paw Patrol) (Little Golden Book)","Golden Books","4.800000190734863","4757.0000","4","1","2017","Fiction"
"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","4.599999904632568","10009.0000","13.5","2","2012,2013","Non Fiction"
"Radical: Taking Back Your Faith from the American Dream","David Platt","4.699999809265137","1985.0000","9","2","2010,2011","Non Fiction"
"Ready Player One: A Novel","Ernest Cline","4.599999904632568","22536.0000","12","2","2017,2018","Fiction"
"Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1)","Rush Limbaugh","4.900000095367432","7150.0000","12","1","2013","Fiction"
"Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2)","Rush Limbaugh","4.900000095367432","3836.0000","12","1","2014","Fiction"
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","Samin Nosrat","4.800000190734863","7802.0000","20","2","2018,2019","Non Fiction"
"Sarah's Key","Tatiana de Rosnay","4.599999904632568","3619.0000","10","1","2010","Fiction"
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…","School Zone","4.800000190734863","23047.0000","6","2","2018,2019","Non Fiction"
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)","Johanna Basford","4.699999809265137","9366.0000","9","1","2015","Non Fiction"
"Sh*t My Dad Says","Justin Halpern","4.699999809265137","1265.0000","11","1","2010","Non Fiction"
"Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution","Tucker Carlson","4.800000190734863","3923.0000","16","1","2018","Non Fiction"
"Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes","Ian K. Smith M.D.","4.099999904632568","2272.0000","6","1","2013","Non Fiction"
"Sookie Stackhouse","Charlaine Harris","4.699999809265137","973.0000","25","1","2009","Fiction"
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…","Zhi Gang Sha","4.599999904632568","220.0000","17","1","2013","Non Fiction"
"Steve Jobs","Walter Isaacson","4.599999904632568","7827.0000","20","2","2011,2012","Non Fiction"
"Strange Planet (Strange Planet Series)","Nathan W. Pyle","4.900000095367432","9382.0000","6","1","2019","Fiction"
"StrengthsFinder 2.0","Gallup","4","5069.0000","17","9","2009,2010,2011,2012,2013,2014,2015,2016,2017","Non Fiction"
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt","4.5","1583.0000","18","1","2009","Non Fiction"
"Switch: How to Change Things When Change Is Hard","Chip Heath","4.599999904632568","1907.0000","13","1","2010","Non Fiction"
"Sycamore Row (Jake Brigance)","John Grisham","4.5","23114.0000","18","1","2013","Fiction"
"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov","4.400000095367432","637.0000","20","2","2010,2011","Non Fiction"
